Company,Date Posted,Job_Description,Location,Title
Adventist HealthCare,10/14/2016,"Works trayline positions as assigned cross trains in all areas. Works in dish room and/or pots area; is responsible for sanitation and record keeping (dish machine log, sanitation log) Performs side work duties which include cleaning, sweeping, mopping, record keeping (T+T, sanitizer log), and remov ...","Rockville, MD",Food Service Worker II - Nutrition Services FT Days
Adventist HealthCare,10/14/2016,"The Cook I is responsible for preparing food items for patients, cafeteria, and catering consumption. Assists with patient tray line as needed. Ensures products are produced in a timely manner under appropriate food safety guidelines. Completes all documentation of time and temperature. Maintains sa ...","Takoma Park, MD",Cook I - Nutrition Services
Adventist HealthCare,10/14/2016,"Works trayline positions as assigned cross trains in all areas. Works in dish room and/or pots area; is responsible for sanitation and record keeping (dish machine log, sanitation log) Performs side work duties which include cleaning, sweeping, mopping, record keeping (T+T, sanitizer log), and remov ...","Rockville, MD",Utility Aide - Food and Nutrition LPT Flex
Adventist HealthCare,10/14/2016,Adventist HealthCare Physical Health & Rehabilitation is seeking a full time Dietary Aide. Ensures that each patient receives a menu and a meal as indicated Checks trayline overseeing that line starts on time and ensures trays are accurate Answers telephone and handles request from units in a h ...,"Rockville, MD",Dietary Aide - Nutrition Services
Adventist HealthCare,10/14/2016,"The Food Service Chef Supervisor is responsible for supervising all aspects of food production including menu planning, food preparation and quality to ensure client satisfaction and retention. Food Service Chef Supervisor is responsible for maintaining HACCP standards for pre and post production un ...","Rockville, MD",Supv. Food Service
Adventist HealthCare,10/14/2016,Adventist HealthCare Work Schedule The work schedule will vary. Start times are typically between 5am and 7pm and end times are between 4pm and 5pm. The limited part time positions require a commitment of 1 day per week (up to 16 hours) and every other weekend. Tobacco Statement Tobacco use is a wel ...,"Rockville, MD",Food Service Worker LPT Varied Shifts
Adventist HealthCare,10/14/2016,Adventist HealthCare Physical Health & Rehabilitation is seeking a limited part time Dietary Aide to work every other weekend. Ensures that each patient receives a menu and a meal as indicated Checks trayline overseeing that line starts on time and ensures trays are accurate Answers telephone a ...,"Rockville, MD",Dietary Aide - Nutrition Services
Adventist HealthCare,10/14/2016,The right candidate will have excellent communication skills and will be customer service oriented. Host/Hostesses are responsible for going into patient rooms for meal orders and must be able to use an iPad or Tablet. Work Schedule The work schedule will vary depending on the needs of the area (day ...,"Rockville, MD",Host/Hostess LPT Varied Shift/ Every Other Weekend
"ServiceSource, Inc.",10/14/2016,"Under the guidance of the Director of Operations, the Project Manager is responsible for directing all shipment receiving and distribution services for the ANGRC DCC contract as described in the Performance Work Statement (PWS), to include supervision and management of all employees, as well as qual ...","Washington, DC",Project Manager - Mail Ops
"ServiceSource, Inc.",10/14/2016,"In this position, you will be responsible for servining food, dish/pot washing, food handling, and cleaning. Other related duties may be assigned by supervisory staff. $10.66 per hour Qualifications Excellent customer service skills, ability to work in a fast paced environment, good verbal and commu ...","Arlington, VA",Mess Hall Attendant
Five Star Quality Care,10/14/2016,"At this time, we are seeking a Waiter/Server/Busser to join our team! Responsibilities include, but are not limited to Takes resident(s) meal orders and serves meals correctly and efficiently Delivers trays to rooms of ill residents Sets tables with napkins and tableware Refills condiments and salt  ...","Chevy Chase, MD",Waiter/server/busser
Capital One,10/14/2016,"Job ID R11373 Thomas Edison North (74050), United States of America, St Cloud, Minnesota Internal Cafe Communications Multimedia Specialist Principal Associate The Cafe Experience Welcome to a new idea in banking. Here at Capital One, we're redefining how people bank. You see, we believe banking sho ...","McLean, VA; Wilmington, DE; St. Cloud, MN",Internal Caf Communications Multimedia Specialist - Principa...
MedStar Washington Hospital Ce...,10/14/2016,Department    Catering       Schedule   Part Time Benefits Eligible (SEIU) UE    Shift  Day/Evening/Night Rotation with weekend rotation (9)    Hours   40    Job Details    Responsible for the preparation and setting up for banquet services at the Washington  Hospital Center and the delivery of food ...,"Washington, DC",Food Service Worker II - Catering/Pavillion Services
MedStar Washington Hospital Ce...,10/14/2016,"Department    Production       Schedule   Part Time Benefits Eligible (SEIU) UE    Shift  Day/Evening/Night Rotation with weekend rotation (9)    Hours   40    Job Details    Responsible for the preparation of quality foods for patients, employees, and guests. May require up to l year of technical o ...","Washington, DC",Cook/Baker
MGM National Harbor,10/14/2016,"It is the primary responsibility of the Sous Chef Voltaggio Brother's Steakhouse is all physical aspects of kitchen operation, supervision of kitchen personnel, preparation and serving of food, food and labor cost control, exceeding guests' expectations as far as food quality and presentation. All d ...","Oxon Hill, MD",Sous Chef - Voltaggio Brother's Steakhouse
Chipotle Mexican Grill,10/14/2016,"Restaurant Team Member Crew (2388 Montgomery Mall) (16021264) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have ex ...","Bethesda, MD",Restaurant Team Member - Crew (2388- Montgomery Mall)
Chipotle Mexican Grill,10/14/2016,"Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience as a cashier, server, cook, prep cook, dishwasher, housekeeper, b ...","Gaithersburg, MD",Restaurant Team Member - Crew (2331-Washingtonian)
The George Washington Universi...,10/14/2016,"The George Washington University Hospital (GW Hospital)is a 385 bed tertiary care, academic medical center located indowntown Washington, DC , next to the Foggy Bottom metro. GW Hospitalserves a diverse group of patients from local residents toour nation's leaders. As an academic medical center, GWH ...","Washington, DC",Food Service Worker Dietary PRN
The George Washington Universi...,10/14/2016,"The George Washington University Hospital (GW Hospital)is a 385 bed tertiary care, academic medical center located indowntown Washington, DC , next to the Foggy Bottom metro. GW Hospitalserves a diverse group of patients from local residents toour nation's leaders. As an academic medical center, GWH ...","Washington, DC",Food Service Worker Dietary PRN
The George Washington Universi...,10/14/2016,"The George Washington University Hospital (GW Hospital)is a 385 bed tertiary care, academic medical center located indowntown Washington, DC , next to the Foggy Bottom metro. GW Hospitalserves a diverse group of patients from local residents toour nation's leaders. As an academic medical center, GWH ...","Washington, DC",Food Service Worker Dietary PRN
LifeBridge Health,10/14/2016,Description Position Type Full Time Shift Night Qualifications EDUCATION Completion of 10th grade required. Must be at least 16 years of age. EXPERIENCE Courses or experience in quantity food preparation preferred. CERTIFICATIONS Serve SAFE Certification preferred. COMPUTER PROFICIENCY Novice Knowle ...,"Westminster, MD",Food Service Aide - Nights
LifeBridge Health,10/14/2016,Description Position Type Full Time Shift Varies Qualifications EDUCATION Completion of 10th Grade required. Least 16 years of age. EXPERIENCE Courses or experience in quantity food preparation preferred. CERTIFICATIONS SERVE SAFE Certification preferred. COMPUTER PROFICIENCY Novice Knowledge of bas ...,"Westminster, MD",Food Service Aide - Day/Evening
LifeBridge Health,10/14/2016,Description Position Type PRN Shift Varies Qualifications EDUCATION High School Diploma or equivalent required. EXPERIENCE Course or experience in quantity food preparation preferred. CERTIFICATIONS SERVE SAFE Certification preferred or obtained within one year of hire. COMPUTER PROFICIENCY Novice K ...,"Westminster, MD",Food Service Aide I - PRN
